character,race,sex,game era,,excludes temporary transformations,,,,,,,,,,,
steam wingglider,water dragon,male,shadow flame,,sirrus catnip - final result of project zero dark is a clone of flare lightbringer(can't physically age externally but still ages internally),,,,,,,,,,,
cat fireknuckle,fire cat,female,"shadow flame,light's adventure",,forge doublefire-flare's leader of the military of luna serves directly under bright,,,,,,,,,,,
feryil crystalfox,time crystal/kitsune hybrid,female,"pre hyperion war era,jot era, light's adventure, shadow flame, dark foundation",,nuke doublefire-forge's son and is nearly the same age as crystal,,,,,,,,,,,
Prine gunpowder,caprine,male,"jot era,light's adventure, shadow flame(dialog only)",,thyme sagefairy-rose and berry sagefairy's daughter is crystal's rival in learning healing magic(timeline 64 only),,,,,,,,,,,
fog arcanebluff,water dragon,female,"jot era,light's adventure, shadow flame",,sune foxend jr.- blair and sune's child whom pearlite has a direct link to,,,,,,,,,,,
Allium Nightflower,vampire,female,"jot era,light's adventure,shadow flame",,s.e.r.i.a.l. burnfeather- peryil burnfeather's creation. It takes the form and manorisms of it's creator. It is the power source of the temporal knife starship. (spacial environmental resource interface for artificial life),,,,,,,,,,,
leech earthborn,water/earth dragon hybrid,female,jot era,,chill catnip-sirrus and brier's child. Tortured by his mother due to not wanting a male child. Since he was 5 years old he was constantly forced to use succubus oil and light magic to give the illusion of being female.as one can guess he resents his parents and started creating a slow coup.,,,,,,,,,,,
squeegee earththorn,sky/earth dragon hybrid,male,jot era,,buthead gun was a canceled character from dark foundation. Originally was middle management in between chris/jewel and bias. The reason why he was cut was to prevent the game from going too dark.,,,,,,,,,,,
chill catnip(brier's child),human/wolfcat hybrid,male,light's adventure,,ava airy is pyre's backup if pyre is unable to take a job,,,,,,,,,,,
root burnhopper,bunnykin,female,"jot era,shadow flame",,serene and bono foxfire are fictional characters within the temporal light universe. Part of the kitsune fighter series of video games,,,,,,,,,,,
sirrus catnip,human clone of flare,male,"jot era, light's adventure era ",,,,,,,,,,,,,
dr. jekyll wolfsbane,shadowcat,female,"jot era,shadow flame",,,,,,,,,,,,,
hyde wolfsbane,shadowcat,male,"jot era,shadow flame",,,,,,,,,,,,,
c14y,robot,none,jot era,,,,,,,,,,,,,
duke flametalon,phoenix,male,jot era,,,,,,,,,,,,,
kit highclaw,kitsune,female,pre hyperion era,,,,,,,,,,,,,
leo priderock,lionsight,male,pre hyperion era,,,,,,,,,,,,,
glacia highclaw,kitsune,female,pre hyperion era,,,,,,,,,,,,,
sina buttface,human,female,pre hyperion era,,,,,,,,,,,,,
flame clawwing,phoenix,female,pre hyperion era,,,,,,,,,,,,,
flower utterberry,kitsune,female,pre hyperion era,,,,,,,,,,,,,
sling highclaw,kitsune,male,pre hyperion era,,,,,,,,,,,,,
slice fireglobe,human,male,pre hyperion era,,,,,,,,,,,,,
Alice fireglobe,human/vampire hybrid,female,pre hyperion era,,,,,,,,,,,,,
burna fireglobe,vampire,female,pre hyperion era,,,,,,,,,,,,,
wind signet,human,female,pre hyperion era,,,,,,,,,,,,,
fire deathripper,vampire,female,pre hyperion era,,,,,,,,,,,,,
chris spacetime,human,male,"dark foundation era, light's adventure era",,,,,,,,,,,,,
krystal spacetime,human,female,"dark foundation era, light's adventure era",,,,,,,,,,,,,
thyme sagefairy,squirrel,female,light's adventure,,,,,,,,,,,,,
nuke doublefire,fire elemental,male,light's adventure,,,,,,,,,,,,,
emma firelight,human,female,dark foundation,,,,,,,,,,,,,
mike firelight,human,male,dark foundation,,,,,,,,,,,,,
jewel timespace,human-during dark foundation. Amalgumation afterword,female,"dark foundation era, light's adventure era",,,,,,,,,,,,,
officer talon,phoenix,male,shadow flame,,,,,,,,,,,,,
officer claw,phoenix,male,shadow flame,,,,,,,,,,,,,
solar council member carrot burnhopper,bunnykin,male,"jot era, shadow flame era, light's adventure era. (is a cousin to root)",,,,,,,,,,,,,
s.e.r.i.a.l. burnfeather,artificial time crystal,none,"light's adventure,dark foundation",,,,,,,,,,,,,
ava airy,harpy,female,light's adventure,,,,,,,,,,,,,
buni luckfoot,bunnykin,female,light's adventure,,,,,,,,,,,,,
fractile dragonsblade,earth dragon,female,light's adventure,,,,,,,,,,,,,
burna fireburn,flame fairy,female,light's adventure,,,,,,,,,,,,,
tery bear,bear,female,light's adventure,,,,,,,,,,,,,
sari bear,bear,female,light's adventure,,,,,,,,,,,,,
butthead gun,human,male,dark foundation,,,,,,,,,,,,,
siri silver,human,female,"jot era RS,Light's adventure RS",,,,,,,,,,,,,
grey lightbreaker,human/wolfcat hybrid,male,"jot era RS,Light's adventure RS",alt of,crystal lightbringer,,,,,,,,,,,
seril frostfeather,phoenix,male,"jot era RS,Light's adventure RS",alt of,peryil burnfeather,,,,,,,,,,,
batface deathshreader,vampire,male,"jot era RS,Light's adventure RS",alt of,pyre deathripper,,,,,,,,,,,
earth lightbreaker,wolfcat(kitsune/shadowcat),male,"jot era RS,Light's adventure RS",alt of,jem wolfsbane/lightbringer,,,,,,,,,,,
gold lightbreaker,kitsune,male,"jot era RS,Light's adventure RS",alt of,pearlite wolfsbane,,,,,,,,,,,
jade lightbreaker,shadowcat,female,"jot era RS,Light's adventure RS",alt of,garnet wolfsbane,,,,,,,,,,,
harp bird,harpy,male,"jot era RS,Light's adventure RS",alt of,ava airy,,,,,,,,,,,
char doublefire,fire elemental,female,"jot era RS,Light's adventure RS",alt of,nuke doublefire,,,,,,,,,,,
lime sagefairy,squirrel,male,"jot era RS,Light's adventure RS",alt of,thyme sagefairy,,,,,,,,,,,
feffer luckfoot,bunnykin,male,"jot era RS,Light's adventure RS",alt of,buni luckfoot,,,,,,,,,,,
sava dragonskeep,earth dragon,female,"jot era RS,Light's adventure RS",alt of,fractile dragonsblade,,,,,,,,,,,
thorn lightbreaker,wolfcat(kitsune/shadowcat),male,"jot era RS,Light's adventure RS",alt of,brier wolfsbane,,,,,,,,,,,
necter catnip,human/wolfcat hybrid,female,"jot era RS,Light's adventure RS",alt of,chill catnip(brier's child),,,,,,,,,,,
flower lightbreaaker,human clone of rosa,female,"jot era RS,Light's adventure RS",alt of,sirrus catnip,,,,,,,,,,,
psy bear,bear,female,"jot era RS,Light's adventure RS",alt of,sari bear,,,,,,,,,,,
beri sagefairy,squirrel,female,"jot era RS,Light's adventure RS",alt of,berry sagefairy,,,,,,,,,,,
casey fireknuckle,fire cat,male,"jot era RS,Light's adventure RS",alt of,cat fireknuckle,,,,,,,,,,,
bitchface son,human,female,dark foundation RS,alt of,butthead gun,,,,,,,,,,,
krystal lightbreak,human,female,dark foundation RS,alt of,chris spacetime,,,,,,,,,,,
chris lightbreak,human,male,dark foundation RS,alt of,krystal spacetime,,,,,,,,,,,
dark firebrand,human,male,dark foundation RS,alt of,jewel timespace,,,,,,,,,,,
willow frostfeather,phoenix,female,"jot era RS,Light's adventure RS",alt of,cedric burnfeather,,,,,,,,,,,
flame frostfeather,phoenix,male,"jot era RS,Light's adventure RS",alt of,ember burnfeather,,,,,,,,,,,
sigil facewind,human,male,"jot era RS,Light's adventure RS",alt of,rain lightbringer,,,,,,,,,,,
gail facewind,human,female,"jot era RS,Light's adventure RS",alt of,thunder lightbringer,,,,,,,,,,,
acorn sagefairy,squirrel,male,"jot era RS,Light's adventure RS",alt of,rose sagefairy,,,,,,,,,,,
skull tallowthorn,kitsune,male,"pre hyperion war RS,jot era RS(ghost),light's adventure RS(ghost)",alt of,blair foxend,,,,,,,,,,,
lima tallowthorn,kitsune,female,"pre hyperion war RS,jot era RS(ghost),light's adventure RS(ghost)",alt of,sune foxend,,,,,,,,,,,
rosemary cult,human/vampire hybrid,female,pre hyperion war RS ,alt of,bias fireglobe,,,,,,,,,,,
claw tallowthorn,kitsune,male,pre hyperion war RS,alt of,kit highclaw,,,,,,,,,,,
dawn cult,human,female,pre hyperion war RS,alt of,slice fireglobe,,,,,,,,,,,
lyre cult,vampire,male,pre hyperion war RS,alt of,burna fireglobe,,,,,,,,,,,
serene foxfire,kitsune,female,pre hyperion war,,,,,,,,,,,,,
bono foxfire,kitsune,male,pre hyperion war,,,,,,,,,,,,,
